	name	place_id	types	lat	long
140	The Slanted Door	ChIJWTGPjmaAhYARnYsfhjHT8JM	[bar, restaurant, food, point_of_interest, establishment]	37.7961888	-122.394041
141	The View	ChIJZZ_cOYaAhYARnyfbDrAkvJ8	[restaurant, night_club, bar, food, point_of_interest, establishment]	37.7850079	-122.4043332
142	Tilden Regional Park	ChIJlR5fQ_F7hYARO9bet3eMP3s	[park, point_of_interest, establishment]	37.89276700000001	-122.242451
143	Tomales Bay Resort & Marina	ChIJL9WkTpjPhYARqrPmOrlsSG8	[lodging, point_of_interest, establishment]	38.1070379	-122.8628638
144	Torrid	ChIJP5NLubt9j4ARhCgzc0idfvM	[shoe_store, clothing_store, store, point_of_interest, establishment]	37.7281631	-122.4768443
145	Universal Cafe	ChIJ___I0jB-j4ARgAaAClz2pl8	[cafe, restaurant, food, point_of_interest, establishment]	37.76061979999999	-122.4105624
146	Velo Rouge Cafe	ChIJH-SUHkaHhYARMNAz4L9wCks	[cafe, restaurant, food, store, point_of_interest, establishment]	37.7753982	-122.4581756
147	Victoria Manalo Draves Park	ChIJMb8k6YGAhYARcSOLWWOsvoI	[park, point_of_interest, establishment]	37.7770652	-122.4059946
148	Yield	ChIJDw0djbl_j4ARF-oLuBpaXtk	[bar, food, point_of_interest, establishment]	37.75822429999999	-122.3886407
149	Zuni Café.	ChIJO7u9q5-AhYARiSSXyWv9eJ8	[restaurant, food, bar, point_of_interest, establishment]	37.77362420000001	-122.4216426
