	lat	long
26	37.776196	-122.423316
31	37.8203279	-122.2887968
38	37.8798723	-122.2694794
132	37.8138747	-122.1660901
142	37.7632367	-122.4154832
156	37.7961888	-122.394041
159	38.1070379	-122.8628638
